split,n_replications,test_loss_nll_mean,item_grade_pearson_r_mean,item_grade_spearman_r_mean,ability_recovery_pearson_r_mean,n_steps_run_mean,test_loss_nll_std,item_grade_pearson_r_std,item_grade_spearman_r_std,ability_recovery_pearson_r_std,n_steps_run_std,gain_vs_synthetic_mean,gain_vs_synthetic_min,gain_vs_synthetic_max,gap_vs_paper_mean,item_grade_pearson_r_per_replication
Cold,5,0.5052791452234452,0.7074531208402448,0.698643031219145,0.7947271863392776,17.4,0.009110162933361924,0.032799678084879866,0.032667933718405893,0.027133665181109254,3.1999999999999997,0.13545312084024486,0.07600147447532002,0.16836098469633698,0.034546879159755184,"[np.float64(0.6997), np.float64(0.7404), np.float64(0.7322), np.float64(0.717), np.float64(0.648)]"
Jump 20,5,0.4696070838550521,0.9390617742598097,0.9412570452175191,0.8077457978275518,16.8,0.036133976812781084,0.014631510367979798,0.012602630773211144,0.01792791505174898,4.66476151587624,0.03606177425980972,0.009026287936806043,0.051869626903483734,0.014938225740190214,"[np.float64(0.9549), np.float64(0.9456), np.float64(0.9372), np.float64(0.9457), np.float64(0.912)]"
Jump 40,5,0.4590357312042245,0.9565123066002265,0.9592996210147309,0.8057654099013913,18.0,0.009862542254537383,0.0075359091050426945,0.010506871938852982,0.008884497670512767,2.5298221281347035,0.029512306600226412,0.01715882744861763,0.03950429310339365,0.021487693399773522,"[np.float64(0.9606), np.float64(0.9665), np.float64(0.9442), np.float64(0.9582), np.float64(0.9531)]"
Jump 80,5,0.45904068075357085,0.9666663754474751,0.970595013022057,0.7860642500305375,19.2,0.015555399206401619,0.0074955190037473635,0.008513790909687811,0.013993790481571617,0.9797958971132713,0.023666375447475185,0.009534246128649282,0.029582019456475206,0.022333624552524856,"[np.float64(0.9654), np.float64(0.9726), np.float64(0.9525), np.float64(0.9711), np.float64(0.9717)]"
Warm 05-08,5,0.4337577666483877,0.9815193671382308,0.987237164939635,0.8343695343874463,16.4,0.008902382847072563,0.0037273024532043443,0.003881638513149142,0.00465069429311419,4.029888335921977,0.01851936713823088,0.014342949455383724,0.02534655148641274,0.01648063286176915,"[np.float64(0.9817), np.float64(0.9773), np.float64(0.9809), np.float64(0.9883), np.float64(0.9793)]"
Warm 05-15,5,0.43219081746737215,0.9824131064252393,0.9875009182810389,0.8351319688582949,13.2,0.01027127955632221,0.0029967366493484733,0.0022405529757475104,0.007978795343427306,1.3266499161421599,0.0184131064252393,0.015591961692211886,0.024048109080760938,0.01558689357476073,"[np.float64(0.9824), np.float64(0.9817), np.float64(0.9796), np.float64(0.988), np.float64(0.9802)]"
