split,n_steps_run,stopped_reason,elapsed_seconds,test_loss_nll,item_grade_pearson_r,item_grade_spearman_r,ability_recovery_pearson_r,paper_pearson,synthetic_baseline_pearson,gap_vs_paper,gain_vs_synthetic
Cold,13,converged,613.3,0.5846984224488232,0.5166706348769993,0.5156146219613248,0.8374703942310969,0.785,0.758,0.2683,-0.2413
Jump 20,7,converged,415.0,0.6018239826993946,0.5732105746603007,0.5703140964482352,0.7921130822084007,0.936,0.798,0.3628,-0.2248
Jump 40,14,converged,847.2,0.5779211719038564,0.5778496603844108,0.5916730098614151,0.7533828612922211,0.955,0.717,0.3772,-0.1392
Jump 80,7,converged,420.7,0.6033394696386386,0.660530259757515,0.6658176970197616,0.7249494666777466,0.971,0.858,0.3105,-0.1975
Warm 05-08,10,converged,620.5,0.5677674890256658,0.6278255549495071,0.6298748756671975,0.8442569323305406,0.987,0.847,0.3592,-0.2192
Warm 05-15,10,converged,449.8,0.5681686035461789,0.6329220029847662,0.6363966698610587,0.8421155318365092,0.987,0.847,0.3541,-0.2141
