split,run_number,test_loss_nll,item_grade_pearson_r,item_grade_spearman_r,ability_recovery_pearson_r
warm_start,1,0.5884864483262607,0.9231516131272508,0.8054210410600655,0.7628829595860322
warm_start,2,0.5664408639823693,0.9279089949962982,0.8399420730357401,0.7786707255232383
warm_start,3,0.5800411106385145,0.9136592679134519,0.811475716460698,0.7773034441589819
warm_start,4,0.5885174591678435,0.9039597894287712,0.7758401142459217,0.7789850942212615
warm_start,5,0.5900475156750398,0.9237387118451327,0.8394186314212676,0.7660308006033437
cold_start,1,0.6551039091518701,0.24202351553392873,0.042388366001888965,0.4835147061517595
cold_start,2,0.6315424195091442,0.4534418044777103,0.3740425263819007,0.49282881944607404
cold_start,3,0.6213129999742726,0.3222396538514597,0.07871681628909262,0.5011374917486837
cold_start,4,0.6465172061080219,0.33268687347650694,0.28270027002700265,0.5152930231242919
cold_start,5,0.6844486197831794,-0.06477806916723136,0.10832283228322831,0.403404960876157
