split,n_steps_run,stopped_reason,elapsed_seconds,test_loss_nll,item_grade_pearson_r,item_grade_spearman_r,ability_recovery_pearson_r,paper_pearson,synthetic_baseline_pearson,gap_vs_paper,gain_vs_synthetic
Cold,7,converged,196.2,0.6243104738288683,0.6433111215877898,0.6364807335995,0.8160147456667504,0.742,0.661,0.0987,-0.0177
Jump 20,7,converged,170.5,0.5892857863226877,0.8291464735511254,0.8332377537280128,0.8140431807259976,0.954,0.852,0.1249,-0.0229
Jump 40,7,converged,216.6,0.5916460843979923,0.8686139330911218,0.877081892467179,0.7890358072499868,0.978,0.889,0.1094,-0.0204
Jump 80,7,converged,182.7,0.5892927142032464,0.8864694436757252,0.9003598923533017,0.759121942091922,0.989,0.907,0.1025,-0.0205
Warm 05-08,13,converged,350.2,0.4950842762288251,0.9228847590641281,0.9232141578618606,0.8351345949677268,0.998,0.926,0.0751,-0.0031
Warm 05-15,14,converged,419.6,0.4934985769091527,0.9290625350097874,0.9281817695897329,0.833281295055728,0.998,0.929,0.0689,0.0001
