n_items,n_sessions,elapsed_seconds,test_loss_nll,item_grade_pearson_r,item_grade_spearman_r,ability_recovery_pearson_r
400,10000,1551.4,0.5420400450129237,0.6964613556348085,0.5799279711884754,0.8021103256133696
1600,10000,2310.4,0.5656012425829798,0.6526283872939823,0.6169027611044418,0.7653314706792054
